Tanggal,Bawah I,Bawah II,Medium I,Medium II,Super I,Super II
04/03/2021,9650,10250,11200,11350,12100,12150
05/03/2021,9650,10250,11200,11350,12100,12150
08/03/2021,9650,10250,11200,11350,12100,12150
09/03/2021,9650,10250,11200,11350,12100,12150
10/03/2021,9650,10250,11200,11350,12100,12150
12/03/2021,9650,10250,11200,11350,12100,12150
15/03/2021,9650,10250,11200,11350,12350,12600
16/03/2021,9650,10250,11200,11350,12350,12600
17/03/2021,9650,10250,11200,11350,12350,12600
18/03/2021,9650,10250,11200,11350,12350,12600
19/03/2021,9650,10250,11200,11350,12350,12600
22/03/2021,9650,10200,11200,11350,12350,12600
23/03/2021,9650,10200,11200,11350,12350,12600
24/03/2021,9650,10200,11200,11350,12350,12600
25/03/2021,9650,10200,11200,11350,12350,12600
26/03/2021,9650,10200,11200,11350,12350,12600
29/03/2021,9650,10200,11200,11350,12350,12600
30/03/2021,9650,10200,11200,11350,12350,12600
31/03/2021,9650,10200,11200,11350,12350,12600
01/04/2021,9650,10200,11200,11350,12350,12600
05/04/2021,9650,10200,11200,11350,12350,12600
06/04/2021,9650,10200,11200,11350,12350,12600
07/04/2021,9650,10200,11200,11350,12350,12600
08/04/2021,9650,10200,11200,11350,12350,12600
09/04/2021,9650,10200,11200,11350,12350,12600
12/04/2021,9650,10200,11200,11350,12350,12600
13/04/2021,9650,10200,11200,11350,12350,12600
14/04/2021,9650,10200,11200,11350,12350,12600
15/04/2021,9650,10200,11200,11350,12350,12600
16/04/2021,9650,10200,11200,11350,12350,12600
19/04/2021,9650,10200,11200,11350,12350,12600
20/04/2021,9650,10200,11200,11350,12350,12600
21/04/2021,9650,10200,11200,11350,12350,12600
22/04/2021,9650,10200,11200,11350,12350,12600
23/04/2021,9650,10200,11200,11350,12350,12600
26/04/2021,9650,10200,11200,11350,12350,12600
27/04/2021,9650,10200,11200,11350,12350,12600
28/04/2021,9650,10200,11200,11350,12350,12600
29/04/2021,9650,10200,11200,11350,12350,12600
30/04/2021,9650,10200,11200,11350,12350,12600
03/05/2021,9650,10200,11250,11350,12350,12600
04/05/2021,9650,10200,11200,11400,12350,12500
05/05/2021,9650,10200,11200,11400,12350,12500
06/05/2021,9650,10200,11200,11400,12350,12500
07/05/2021,9650,10200,11200,11400,12350,12500
10/05/2021,9650,10200,11200,11400,12350,12500
11/05/2021,9650,10200,11200,11400,12350,12500
17/05/2021,9650,10200,11200,11400,12350,12500
18/05/2021,9650,10200,11200,11400,12350,12500
19/05/2021,9650,10200,11200,11400,12350,12500
20/05/2021,9650,10200,11200,11400,12350,12500
21/05/2021,9650,10200,11200,11400,12350,12500
24/05/2021,9650,10200,11200,11400,12350,12500
25/05/2021,9650,10200,11200,11400,12350,12500
27/05/2021,9650,10200,11200,11400,12350,12500
28/05/2021,9650,10200,11200,11400,12350,12500
31/05/2021,9650,10150,11100,11400,12350,12500
02/06/2021,9650,10150,11100,11400,12350,12500
03/06/2021,9650,10150,11100,11400,12350,12500
04/06/2021,9650,10150,11100,11400,12350,12500
07/06/2021,9650,10150,11100,11400,12350,12500
08/06/2021,9650,10150,11100,11400,12350,12500
09/06/2021,9650,10150,11100,11400,12350,12500
10/06/2021,9650,10150,11100,11400,12350,12500
11/06/2021,9650,10150,11100,11400,12350,12500
14/06/2021,9650,10150,11100,11400,12350,12500
15/06/2021,9650,10150,11100,11400,12350,12500
16/06/2021,9650,10150,11100,11400,12350,12500
17/06/2021,9650,10150,11100,11400,12350,12500
18/06/2021,9650,10150,11100,11400,12350,12500
21/06/2021,9650,10150,11100,11400,12350,12500
22/06/2021,9650,10150,11100,11400,12350,12450
23/06/2021,9650,10150,11100,11400,12350,12450
24/06/2021,9650,10150,11100,11400,12350,12450
25/06/2021,9650,10150,11100,11400,12350,12450
28/06/2021,9650,10150,11100,11400,12350,12450
29/06/2021,9650,10150,11100,11400,12300,12400
30/06/2021,9650,10100,11100,11400,12300,12400
01/07/2021,9650,10100,11100,11350,12300,12400
02/07/2021,9650,10100,11100,11350,12300,12400
05/07/2021,9650,10100,11100,11350,12300,12400
06/07/2021,9650,10100,11100,11350,12300,12400
07/07/2021,9700,10150,11100,11350,12250,12450
08/07/2021,9700,10150,11100,11350,12250,12450
09/07/2021,9700,10150,11100,11350,12250,12450
12/07/2021,9700,10150,11100,11350,12250,12450
13/07/2021,9700,10150,11100,11400,12300,12450
14/07/2021,9700,10150,11100,11400,12300,12450
15/07/2021,9700,10150,11100,11400,12300,12450
16/07/2021,9700,10150,11100,11400,12300,12450
19/07/2021,9700,10150,11100,11400,12300,12450
21/07/2021,9700,10150,11100,11400,12300,12450
22/07/2021,9700,10150,11100,11400,12300,12450
23/07/2021,9700,10150,11100,11400,12300,12450
26/07/2021,9700,10100,11100,11400,12300,12450
27/07/2021,9700,10100,11100,11400,12300,12450
28/07/2021,9700,10100,11100,11400,12300,12450
29/07/2021,9700,10100,11100,11400,12300,12450
30/07/2021,9700,10100,11100,11400,12300,12450
02/08/2021,9750,10100,11050,11400,12250,12500
03/08/2021,9750,10100,11050,11400,12250,12500
04/08/2021,9750,10100,11050,11400,12250,12500
05/08/2021,9750,10100,11050,11400,12250,12500
06/08/2021,9750,10100,11050,11400,12250,12500
09/08/2021,9750,10100,11050,11400,12250,12500
10/08/2021,9750,10100,11050,11400,12250,12500
12/08/2021,9750,10100,11050,11400,12300,12450
13/08/2021,9750,10100,11050,11400,12300,12450
16/08/2021,9750,10100,11050,11400,12300,12450
18/08/2021,9750,10100,11050,11400,12300,12450
19/08/2021,9800,10150,11100,11450,12300,12500
20/08/2021,9800,10150,11100,11450,12300,12500
23/08/2021,9800,10200,11150,11450,12300,12500
24/08/2021,9800,10200,11150,11450,12300,12500
