Tahun,Tanggal,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II
2021,1/6/2021,9600,9950,11150,11150,11950,11850
2021,1/7/2021,9600,9950,11150,11150,11950,11850
2021,1/8/2021,9600,9950,11150,11150,12000,11850
2021,1/11/2021,9600,9950,11150,11150,12000,11850
2021,1/12/2021,9600,9950,11150,11150,12000,11850
2021,1/13/2021,9600,9950,11150,11150,12000,11850
2021,1/14/2021,9600,9950,11150,11150,12000,11850
2021,1/15/2021,9600,9950,11150,11150,12000,11850
2021,1/18/2021,9600,9950,11150,11150,12000,11850
2021,1/19/2021,9600,9950,11150,11150,12000,11850
2021,1/20/2021,9600,9950,11150,11150,12000,11850
2021,1/21/2021,9600,9950,11150,11150,12000,11850
2021,1/22/2021,9600,9950,11150,11150,12000,11850
2021,1/25/2021,9600,9950,11150,11150,12000,11850
2021,1/26/2021,9600,9950,11150,11150,12000,11850
2021,1/27/2021,9600,9950,11150,11150,12000,11850
2021,1/28/2021,9600,9950,11150,11150,12000,11850
2021,1/29/2021,9600,9950,11150,11150,12000,11850
2021,2/1/2021,9600,9950,11150,11150,12000,11850
2021,2/2/2021,9600,9950,11150,11150,12000,11850
2021,2/3/2021,9600,9950,11150,11150,12000,11850
2021,2/4/2021,9600,9950,11150,11150,12000,11850
2021,2/5/2021,9600,9950,11150,11150,12000,11850
2021,2/8/2021,9600,9950,11050,11150,12000,11850
2021,2/9/2021,9600,9950,11050,11150,12000,11850
2021,2/10/2021,9600,9950,11050,11150,12000,11850
2021,2/11/2021,9600,9950,11050,11150,12000,11850
2021,2/15/2021,9600,9950,11050,11150,12000,11850
2021,2/16/2021,9600,9900,11050,11150,12000,11850
2021,2/17/2021,9600,9900,11050,11150,12000,11850
2021,2/18/2021,9600,9900,11050,11150,12000,11850
2021,2/19/2021,9600,9900,11050,11150,12000,11850
2021,2/22/2021,9600,9950,11050,11150,12000,11850
2021,2/23/2021,9600,9950,11050,11150,12000,11850
2021,2/24/2021,9600,9950,11050,11150,12000,11850
2021,2/25/2021,9600,9950,11050,11150,12000,11850
2021,2/26/2021,9600,9950,11050,11150,12000,11850
2021,3/1/2021,9900,10250,11200,11400,12400,12450
2021,3/2/2021,9900,10250,11200,11400,12400,12450
2021,3/3/2021,9900,10250,11200,11400,12400,12450
2021,3/4/2021,9650,10250,11200,11350,12100,12150
2021,3/5/2021,9650,10250,11200,11350,12100,12150
2021,3/8/2021,9650,10250,11200,11350,12100,12150
2021,3/9/2021,9650,10250,11200,11350,12100,12150
2021,3/10/2021,9650,10250,11200,11350,12100,12150
2021,3/12/2021,9650,10250,11200,11350,12100,12150
2021,3/15/2021,9650,10250,11200,11350,12350,12600
2021,3/16/2021,9650,10250,11200,11350,12350,12600
2021,3/17/2021,9650,10250,11200,11350,12350,12600
2021,3/18/2021,9650,10250,11200,11350,12350,12600
2021,3/19/2021,9650,10250,11200,11350,12350,12600
2021,3/22/2021,9650,10200,11200,11350,12350,12600
2021,3/23/2021,9650,10200,11200,11350,12350,12600
2021,3/24/2021,9650,10200,11200,11350,12350,12600
2021,3/25/2021,9650,10200,11200,11350,12350,12600
2021,3/26/2021,9650,10200,11200,11350,12350,12600
2021,3/29/2021,9650,10200,11200,11350,12350,12600
2021,3/30/2021,9650,10200,11200,11350,12350,12600
2021,3/31/2021,9650,10200,11200,11350,12350,12600
2021,4/1/2021,9650,10200,11200,11350,12350,12600
2021,4/5/2021,9650,10200,11200,11350,12350,12600
2021,4/6/2021,9650,10200,11200,11350,12350,12600
2021,4/7/2021,9650,10200,11200,11350,12350,12600
2021,4/8/2021,9650,10200,11200,11350,12350,12600
2021,4/9/2021,9650,10200,11200,11350,12350,12600
2021,4/12/2021,9650,10200,11200,11350,12350,12600
2021,4/13/2021,9650,10200,11200,11350,12350,12600
2021,4/14/2021,9650,10200,11200,11350,12350,12600
2021,4/15/2021,9650,10200,11200,11350,12350,12600
2021,4/16/2021,9650,10200,11200,11350,12350,12600
2021,4/19/2021,9650,10200,11200,11350,12350,12600
2021,4/20/2021,9650,10200,11200,11350,12350,12600
2021,4/21/2021,9650,10200,11200,11350,12350,12600
2021,4/22/2021,9650,10200,11200,11350,12350,12600
2021,4/23/2021,9650,10200,11200,11350,12350,12600
2021,4/26/2021,9650,10200,11200,11350,12350,12600
2021,4/27/2021,9650,10200,11200,11350,12350,12600
2021,4/28/2021,9650,10200,11200,11350,12350,12600
2021,4/29/2021,9650,10200,11200,11350,12350,12600
2021,4/30/2021,9650,10200,11200,11350,12350,12600
2021,5/3/2021,9650,10200,11250,11350,12350,12600
2021,5/4/2021,9650,10200,11200,11400,12350,12500
